Ano;Cod Mun;Espécie;Produção (Ton)
2024;1100015;Carpa;0
2024;1100015;Curimata e Curimbata;0
2024;1100015;Dourado;0
2024;1100015;Jatuarana, piabanha e piracanjuba;3,05
2024;1100015;Lambari;0
2024;1100015;Matrinxa;0,38
2024;1100015;Pacu e patinga;2,85
2024;1100015;Piau, piapara, piaucu, piava;2,85
2024;1100015;Pintado, cachara, cachapira, pintachara, surubim;37,85
2024;1100015;Pirapitinga;1,12
2024;1100015;Pirarucu;4,85
2024;1100015;Tambacu, tambatinga;176,52
2024;1100015;Tambaqui;1665,385
2024;1100015;Tilapia;5,48
2024;1100015;Traira e trairao;0
2024;1100015;Truta;0
2024;1100015;Tucunare;0
2024;1100015;Outros peixes;3
2024;1100023;Carpa;0
2024;1100023;Curimata e Curimbata;22,254
2024;1100023;Dourado;0
2024;1100023;Jatuarana, piabanha e piracanjuba;8,6
2024;1100023;Lambari;0
2024;1100023;Matrinxa;16,128
2024;1100023;Pacu e patinga;98,38
2024;1100023;Piau, piapara, piaucu, piava;1,698
2024;1100023;Pintado, cachara, cachapira, pintachara, surubim;645,25
2024;1100023;Pirapitinga;11,25
2024;1100023;Pirarucu;285,46
2024;1100023;Tambacu, tambatinga;1168,797
2024;1100023;Tambaqui;11697,986
2024;1100023;Tilapia;1,514
2024;1100023;Traira e trairao;0
2024;1100023;Truta;0
2024;1100023;Tucunare;0
2024;1100023;Outros peixes;0
2024;1100031;Carpa;0
2024;1100031;Curimata e Curimbata;0
2024;1100031;Dourado;0
2024;1100031;Jatuarana, piabanha e piracanjuba;0,16
2024;1100031;Lambari;0
2024;1100031;Matrinxa;0
2024;1100031;Pacu e patinga;1,23
2024;1100031;Piau, piapara, piaucu, piava;0
2024;1100031;Pintado, cachara, cachapira, pintachara, surubim;2,064
2024;1100031;Pirapitinga;0
2024;1100031;Pirarucu;4,25
2024;1100031;Tambacu, tambatinga;2,88
2024;1100031;Tambaqui;90,824
2024;1100031;Tilapia;1,95
2024;1100031;Traira e trairao;0
2024;1100031;Truta;0
2024;1100031;Tucunare;0
2024;1100031;Outros peixes;2,2
2024;1100049;Carpa;0
2024;1100049;Curimata e Curimbata;1,78
2024;1100049;Dourado;0
2024;1100049;Jatuarana, piabanha e piracanjuba;0,28
2024;1100049;Lambari;0
2024;1100049;Matrinxa;0
2024;1100049;Pacu e patinga;0,58
2024;1100049;Piau, piapara, piaucu, piava;2,1
2024;1100049;Pintado, cachara, cachapira, pintachara, surubim;9,289
2024;1100049;Pirapitinga;0,68
2024;1100049;Pirarucu;5,98
2024;1100049;Tambacu, tambatinga;5,89
2024;1100049;Tambaqui;408,707
2024;1100049;Tilapia;4
2024;1100049;Traira e trairao;0
2024;1100049;Truta;0
